0.800000 ; -0.400000 
-0.806821 ; 0.590738 ; -0.122446 
-0.806152 ; 0.590249 ; -0.122344 
-0.805483 ; 0.589759 ; -0.122243 
-0.804816 ; 0.589270 ; -0.122141 
-0.804148 ; 0.588782 ; -0.122040 
-0.803482 ; 0.588293 ; -0.121939 
-0.802815 ; 0.587806 ; -0.121838 
-0.802150 ; 0.587318 ; -0.121737 
-0.801485 ; 0.586831 ; -0.121636 
-0.800820 ; 0.586345 ; -0.121535 
-0.800156 ; 0.585859 ; -0.121434 
-0.799493 ; 0.585373 ; -0.121333 
-0.798830 ; 0.584888 ; -0.121233 
-0.798168 ; 0.584403 ; -0.121132 
-0.797506 ; 0.583918 ; -0.121032 
-0.796845 ; 0.583434 ; -0.120932 
-0.796184 ; 0.582950 ; -0.120831 
-0.795524 ; 0.582467 ; -0.120731 
-0.794864 ; 0.581984 ; -0.120631 
-0.794205 ; 0.581502 ; -0.120531 
-0.793547 ; 0.581019 ; -0.120431 
-0.792889 ; 0.580538 ; -0.120331 
-0.792232 ; 0.580056 ; -0.120231 
-0.791575 ; 0.579575 ; -0.120132 
-0.790918 ; 0.579095 ; -0.120032 
-0.790263 ; 0.578615 ; -0.119933 
-0.789607 ; 0.578135 ; -0.119833 
-0.788953 ; 0.577656 ; -0.119734 
-0.788299 ; 0.577177 ; -0.119635 
-0.787645 ; 0.576698 ; -0.119535 
-0.786992 ; 0.576220 ; -0.119436 
-0.786340 ; 0.575742 ; -0.119337 
-0.785688 ; 0.575265 ; -0.119238 
-0.785036 ; 0.574788 ; -0.119139 
-0.784385 ; 0.574312 ; -0.119041 
-0.783735 ; 0.573835 ; -0.118942 
-0.783085 ; 0.573360 ; -0.118843 
-0.782436 ; 0.572884 ; -0.118745 
-0.781787 ; 0.572409 ; -0.118646 
-0.781139 ; 0.571935 ; -0.118548 
-0.780491 ; 0.571460 ; -0.118450 
-0.779844 ; 0.570987 ; -0.118352 
-0.779198 ; 0.570513 ; -0.118253 
-0.778552 ; 0.570040 ; -0.118155 
-0.777906 ; 0.569568 ; -0.118057 
-0.777261 ; 0.569095 ; -0.117960 
-0.776617 ; 0.568624 ; -0.117862 
-0.775973 ; 0.568152 ; -0.117764 
-0.775330 ; 0.567681 ; -0.117666 
-0.774687 ; 0.567210 ; -0.117569 
-0.774044 ; 0.566740 ; -0.117471 
-0.773403 ; 0.566270 ; -0.117374 
-0.772761 ; 0.565801 ; -0.117277 
-0.772121 ; 0.565332 ; -0.117179 
-0.771481 ; 0.564863 ; -0.117082 
-0.770841 ; 0.564395 ; -0.116985 
-0.770202 ; 0.563927 ; -0.116888 
-0.769563 ; 0.563459 ; -0.116791 
-0.768925 ; 0.562992 ; -0.116694 
-0.768288 ; 0.562525 ; -0.116598 
-0.767651 ; 0.562059 ; -0.116501 
-0.767014 ; 0.561593 ; -0.116404 
-0.766378 ; 0.561127 ; -0.116308 
-0.765743 ; 0.560662 ; -0.116211 
-0.765108 ; 0.560197 ; -0.116115 
-0.764474 ; 0.559733 ; -0.116019 
-0.763840 ; 0.559269 ; -0.115923 
-0.763207 ; 0.558805 ; -0.115827 
-0.762574 ; 0.558342 ; -0.115731 
-0.761941 ; 0.557879 ; -0.115635 
-0.761310 ; 0.557416 ; -0.115539 
-0.760679 ; 0.556954 ; -0.115443 
-0.760048 ; 0.556492 ; -0.115347 
-0.759418 ; 0.556031 ; -0.115252 
-0.758788 ; 0.555570 ; -0.115156 
-0.758159 ; 0.555109 ; -0.115061 
